,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hobart,AU,-42.8794,147.3294,50.25,92,75,9.22,light rain
80,Taltal,CL,-25.4,-70.4833,57.16,73,56,4.27,broken clouds
81,Nikolskoye,RU,59.7035,30.7861,46.78,94,52,4.79,broken clouds
82,Alice Springs,AU,-23.7,133.8833,57.22,26,0,5.75,clear sky
83,Seoul,KR,37.5683,126.9778,65.64,91,0,3.44,clear sky
84,Artyom,AZ,40.4723,50.333,68.14,64,54,17.63,broken clouds
85,Puerto Ayora,EC,-0.7393,-90.3518,68.56,94,100,8.01,overcast clouds
86,Kyabe,TD,9.4515,18.9449,74.73,90,100,2.55,overcast clouds
87,Glendive,US,47.1053,-104.7125,103.17,16,0,9.22,clear sky
88,Dehui,CN,44.5333,125.7,61.7,71,2,14.9,clear sky
89,Jardim,BR,-21.4803,-56.1381,81.03,32,31,3.71,scattered clouds
90,Ardabil,IR,38.2498,48.2933,51.35,100,100,16.11,fog
91,Matipo,BR,-20.2839,-42.3411,59.16,73,48,3.85,scattered clouds
92,Yulara,AU,-25.2406,130.9889,56.79,42,0,10.56,clear sky
93,Prince Rupert,CA,54.3161,-130.3201,58.69,90,100,13.8,overcast clouds
94,Nuuk,GL,64.1835,-51.7216,43.41,93,75,1.14,broken clouds
95,Poum,NC,-20.2333,164.0167,72.23,77,51,5.53,broken clouds
96,Asilah,MA,35.465,-6.0348,71.56,85,75,2.51,broken clouds
97,Lake Charles,US,30.2131,-93.2044,86.99,74,75,13.8,thunderstorm
98,Avarua,CK,-21.2078,-159.775,78.85,73,40,18.41,scattered clouds
99,San Quintin,MX,30.4833,-115.95,82.83,63,5,11.48,clear sky
100,Salalah,OM,17.0151,54.0924,77.09,94,100,5.75,light intensity drizzle
101,Komsomolskiy,UZ,40.4272,71.7189,74.12,31,0,9.22,clear sky
102,Hadishahr,AZ,38.8431,45.6635,64.89,79,3,5.21,clear sky
103,Saint-Philippe,RE,-21.3585,55.7679,69.39,77,14,7.31,few clouds
104,Cayenne,GF,4.9333,-52.3333,82.44,74,91,3.44,overcast clouds
105,Honningsvag,NO,70.9821,25.9704,47.95,81,100,14.97,overcast clouds
106,Fairbanks,US,64.8378,-147.7164,54.61,85,75,1.01,broken clouds
107,Fallon,US,39.4735,-118.7774,103.44,9,0,6.91,clear sky
108,Dikson,RU,73.5069,80.5464,37.6,87,100,19.93,light rain
109,Georgetown,MY,5.4112,100.3354,78.73,95,20,2.3,few clouds
110,Kobryn,BY,52.2138,24.3564,45.9,59,85,3.94,overcast clouds
111,Paciran,ID,-6.8767,112.3761,77.77,86,70,7.99,broken clouds
112,Upernavik,GL,72.7868,-56.1549,37.58,80,97,5.82,overcast clouds
113,San Cristobal,VE,7.7669,-72.225,82.58,87,39,4.34,scattered clouds
114,Faanui,PF,-16.4833,-151.75,78.73,72,9,20.45,clear sky
115,Lebu,CL,-37.6167,-73.65,45.54,67,38,10.54,scattered clouds
116,Svit,SK,49.0601,20.2069,51.58,93,0,3.44,clear sky
117,Cidreira,BR,-30.1811,-50.2056,61.02,93,21,10.89,few clouds
118,Benghazi,LY,32.1167,20.0667,78.26,59,0,15.82,clear sky
119,Booue,GA,-0.0921,11.9385,76.91,76,94,4.7,overcast clouds
120,Luena,AO,-11.7833,19.9167,62.74,21,0,5.77,clear sky
121,Bambous Virieux,MU,-20.3428,57.7575,70.05,78,75,6.91,broken clouds
122,Edmundston,CA,47.3737,-68.3251,72.73,47,0,4.61,clear sky
123,Abu Dhabi,AE,24.4667,54.3667,89.71,70,0,1.14,clear sky
124,Hilo,US,19.7297,-155.09,88.29,74,75,12.66,broken clouds
125,Iqaluit,CA,63.7506,-68.5145,42.53,86,75,15.01,broken clouds
126,Puerto Gaitan,CO,4.3133,-72.0816,79.03,70,80,5.66,broken clouds
