City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Susangerd,IR,2022-08-31 16:52:14,31.5608,48.1831,104.18,10,0,5.21
68,Kapaa,US,2022-08-31 16:48:54,22.0752,-159.319,73.38,86,40,6.91
69,Ribeira Grande,PT,2022-08-31 16:52:14,38.5167,-28.7,77.4,78,20,10.36
70,Thompson,CA,2022-08-31 16:52:14,55.7435,-97.8558,44.76,81,100,4.61
71,Jamestown,US,2022-08-31 16:51:33,42.097,-79.2353,75.02,44,75,14.97
72,Hamilton,US,2022-08-31 16:48:06,39.1834,-84.5333,82.22,52,20,3.44
73,Diego De Almagro,CL,2022-08-31 16:52:15,-26.3667,-70.05,64.96,30,1,8.81
74,Kodiak,US,2022-08-31 16:52:15,57.79,-152.4072,53.11,87,100,3.44
75,Richards Bay,ZA,2022-08-31 16:52:15,-28.783,32.0377,63.14,61,67,10.11
76,Mitu,CO,2022-08-31 16:52:16,1.1983,-70.1733,82.24,71,61,3.13
77,Port Blair,IN,2022-08-31 16:52:16,11.6667,92.75,82.44,83,75,2.3
78,Pacific Grove,US,2022-08-31 16:52:16,36.6177,-121.9166,62.28,92,100,13.0
79,Alice Springs,AU,2022-08-31 16:52:17,-23.7,133.8833,56.75,82,75,8.05
80,Suba,PH,2022-08-31 16:52:17,10.8438,121.0102,83.91,74,100,8.72
81,Novyy Svit,UA,2022-08-31 16:52:17,47.8059,38.0211,84.52,33,83,12.86
82,Kaitangata,NZ,2022-08-31 16:52:18,-46.2817,169.8464,46.36,88,65,4.32
83,Guerrero Negro,MX,2022-08-31 16:52:18,27.9769,-114.0611,77.36,67,34,7.85
84,Chapais,CA,2022-08-31 16:52:18,49.7834,-74.8492,55.18,84,100,7.67
85,Gasa,PS,2022-08-31 16:50:49,31.5,34.4667,83.88,75,0,11.72
86,Ust-Nera,RU,2022-08-31 16:52:19,64.5667,143.2,52.48,60,97,3.51
87,Hithadhoo,MV,2022-08-31 16:52:19,-0.6,73.0833,81.82,72,94,14.25
88,Condega,NI,2022-08-31 16:52:19,13.365,-86.3985,82.15,67,75,1.39
89,Tocopilla,CL,2022-08-31 16:48:07,-22.092,-70.1979,63.66,67,23,8.37
90,Tiksi,RU,2022-08-31 16:52:20,71.6872,128.8694,40.6,96,100,5.28
91,Iracoubo,GF,2022-08-31 16:52:20,5.4802,-53.2011,87.82,62,82,9.35
92,San Quintin,MX,2022-08-31 16:52:20,30.4833,-115.95,76.3,72,6,7.49
93,Kismayo,SO,2022-08-31 16:53:21,-0.3582,42.5454,75.25,81,39,15.55
94,Tuktoyaktuk,CA,2022-08-31 16:53:21,69.4541,-133.0374,51.8,87,20,9.22
